,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,47.39,118.75,N/A,5.09,4.25,19.84,6.91,4.44,14.32,22993800000.0,22500000000.0,23.99,2.48,4.88,20.02,4470000000.0,2410000000.0,1120000000.0,0.60,0.60,13.50,13.50,0.63,8.94,2140000000.0000002,3.23,14.00,13.50,1.55,0.25,87.86,0.25,0.00,0.00,0.25,71.25,322720000.0,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,20.66,40.991379310344826,N/A,1.95,1.86,12.99,5.53,7.72,63.18,8806260000.0,8820000000.0,12.75,1.54,0.76,3.89,9320000000.0,1430000000.0,2270000000.0,1.16,1.16,25.10,25.10,1080000000.0,7.33,1400000000.0,1.30,24.41,1220000000.0,24.41,5.89,0.00,7490000.0,1.86,4.07,5760000.0,47.55,185200000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,87.30,17.636082474226804,N/A,6.20,21.13,26.87,10.89,37.07,46.26,867324900000.0,917220000000.0,12.96,1.28,3.84,12.37,229230000000.0,88190000000.0,74170000000.0,50520000000.0,9.70,15.80,12.70,63600000000.0,15.21,122400000000.0,1.24,27.59,64660000000.0,1.3,0.06,63.00,42830000.0,1.46,0.82,33490000.000000004,171.07,5070000000.0,N/A
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,733.14,35.730303030303034,N/A,36.84,18.82,37.72,9.72,109.09,17.68,187476900000.0,214930000000.0,13.52,0.92,7.62,17.70,25640000000.0,19800000000.0,12140000000.0,5280000000.0,3.30,13.90,13.90,7040000000.0,6.16,37370000000.0,1.27,3.20,9960000000.0,1.48,0.09,74.30,15150000.0,2.3,1.07,12640000.0,117.91,1590000000.0,N/A
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,161.32,22.300904977375563,N/A,7.49,0.63,1.30,3.61,39.23,712.08,21652871900.0,23550000000.0,13.32,1.75,0.15,9.57,153140000000.0,4550000000.0,2460000000.0,979090000.0,4.42,251.40,6.00,1500000000.0,13.83,4640000000.0,0.95,13.16,1940000000.0,1.12,26.11,69.46,10620000.0,4.39,6.65,11020000.0,98.57,219670000.0,N/A
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,89.79,218.48148148148147,N/A,3.33,1.74,10.73,2.85,1.36,15.74,103232500000.0,123390000000.0,18.38,1.80,4.51,20.71,20850000000.0,11830000000.0,5960000000.0,0.27,0.27,42.30,42.30,3200000000.0,5.5,27920000000.0,2.26,17.72,5570000000.0,1.72,0.72,73.55,13370000.0,2.44,0.78,12100000.0,58.99,1750000000.0,N/A
6,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.25,28.450354609929082,N/A,10.85,9.94,14.77,15.25,41.99,57.96,98950868200.0,96650000000.0,22.19,2.42,2.69,16.51,36770000000.0,11030000000.0,5850000000.0,3560000000.0,5.64,12.80,11.80,4970000000.0,5.97,25200000.0,1.25,14.79,4890000000.0,1.05,0.23,80.52,8860000.0,5.47,1.35,9210000.0,160.46,616670000.0,N/A
7,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,22.25,59.78994082840237,N/A,11.74,23.20,29.69,9.95,21.33,14.79,99343402200.0,95840000000.0,28.50,1.32,13.13,38.43,7300000000.0,6290000000.0,2490000000.0,1690000000.0,3.38,24.90,24.80,2910000000.0,11.84,1880000000.0,2.06,17.22,2910000000.0,1.04,0.41,88.94,5730000.0,1.79,1.16,4900000.0,202.09,491580000.0,N/A
8,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,77.26,42.710144927536234,N/A,3.21,14.24,30.02,6.58,9.49,14.75,32947754700.0,39390000000.0,15.84,2.30,7.71,18.61,5110000000.0,3060000000.0,2120000000.0,725020000.0,2.07,53.60,53.60,1110000000.0,2.84,7850000000.0,1.47,27.57,1110000000.0,1.17,0.38,88.87,7850000.0,4.24,2.56,0.38,88.41,372670000.0,N/A
9,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,40.78,15.096774193548386,N/A,1.28,2.62,2.49,2.37,9.01,106.90,23555610000.0,30790000000.0,13.76,0.51,0.51,12.64,62350000000.0,3680000000.0,2440000000.0,1600000000.0,2.79,92.00,5.76,1480000000.0,1.44,7490000000.0,1.59,32.88,2210000000.0,32.88,2.27,79.37,12400000.0,3.68,2.22,11680000.0,42.12,559250000.0,N/A
10,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,50.94,29.999999999999996,N/A,13.07,13.47,18.63,3.52,44.48,28.83,51463647000.0,51380000000.0,24.19,2.02,4.02,18.85,12380000000.0,5110000000.0,2730000000.0,1720000000.0,3.87,8.30,8.30,2130000000.0,4.01,0.10,1.06,8.88,1960000000.0,0.86,0.13,79.47,5740000.0,2.75,1.29,6350000.0,116.10,443270000.0,N/A
11,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,9.01,89.896,N/A,230.74,219770000.0,N/A,1690000000.0,1690000000.0,9.01,24751739900.0,25300000000.0,89.90,12.77,12.77,32.29,2029999999.9999998,1690000000.0,1590000000.0,1.25,1.25,5.20,5.20,169700000.0,6.6,1590000000.0,1.07,0.49,5.20,2.22,0.19,98.11,4680000.0,3.64,2.58,3650000.0,112.37,220270000.0,N/A
12,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,387.34,14.5625,N/A,2.67,85010000.0,9.26,1500000000.0,1500000000.0,6.65,8725267500.0,18090000000.0,14.56,0.58,4.25,8.19,4260000000.0,1500000000.0,2210000000.0,0.8,0.8,4.40,4.40,170660000.0,0.27,10830000000.0,0.51,4.36,1500000000.0,4.36,1.16,86.66,10480000.0,3.4,7.61,13460000.0,11.65,748950000.0,N/A
13,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,114.92,25.42056074766355,N/A,1.84,8.47,23.60,3.60,7.26,25.46,13199616000.0,22070000000.0,17.16,2.75,3.57,9.16,6080000000.0,2690000000.0,2410000000.0,2.14,2.14,3.40,3.40,2120000000.0,0.04,8420000000.0,0.55,29.61,2100000000.0,0.07,0.40,70.91,6630000.0,5.35,3.05,6430000.0,54.40,242640000.0,N/A
14,N/A,N/A,aeo,N/A,N/A,N/A,N/A,N/A,20.44,20.670329670329668,N/A,2.86,4.50,8.62,10.89,14.12,20.44,3335201100.0,3010000000.0,13.83,0.82,0.82,6.28,3610000000.0,1370000000.0,479740000.0,164830000.0,0.91,2.10,2.10,365600000.0,1.45,0.61,1.68,6.57,350840000.0,0.66,5.87,89.75,18400000.0,6.13,12.66,17360000.0,18.81,177310000.0,N/A
